@Relation data

@Attribute state {KS,CA,NH,OR,TX,PR,NV,KY,OH,GU,NY,HI,NM,IN,MS,DC,NE,WV,MO,FL,ME,AR,CT,WI,NC,RI,OK,ID,GA,MN,PA,AK,MD,LA,MT,IL,TN,NJ,WA,MI,MA,AL,UT,VT,CO,SC,VI,VA,DE,AZ}
@Attribute spending REAL
@Attribute purchases REAL

@Data
RI,9401.98999999999,213
GA,1213.48,42
NY,47246.69,644
MI,3200.83,36
VA,66547.97,648
NJ,4561.6,173
MD,19205,62
PA,19759.94,518
MD,10384.28,279
OH,9808.29,280
PA,20360.23,282
MI,12439.92,287
OH,266.52,11
AR,13887.31,403
NY,8535.33,98
TX,8480.04,39
VT,16650.18,252
NJ,51029.29,254
NC,6664.87,108
TX,26349.87,335
MD,40645.39,392
CA,1245.58,38
SC,5690.13,144
TX,17050.23,425
MD,10353.3,227
NJ,22294.07,317
CA,4209.12,64
MD,14179.64,86
WA,87319.6299999999,530
MD,4083.06,123
DC,7905.92,91
CA,19684.34,343
IN,14520.28,288
CA,32164.49,759
MI,7055.98,160
CA,44139.6399999999,891
FL,19620.4,636
WA,68511.7100000001,1237
OR,1720.05,237
MD,18656.45,470
CA,32235.21,383
NY,5250.44,164
OK,42182.84,900
WA,25638.46,239
CA,397.06,24
NC,38813.92,330
VA,177.78,7
MO,15537.38,248
MD,146925.3,774
IL,14444.81,545
MD,4834.47,227
WA,160.75,13
TX,5018.98,117
MD,11519.85,289
CA,7599.42999999999,289
FL,2855.98,58
CA,33154.7600000001,416
NY,5152.33000000001,476
DC,56284.59,52
VA,16756.48,233
TX,27971.95,677
MD,17906.88,265
MD,16821.21,381
MD,24593.2,189
CA,14223.78,116
TX,6539.27,160
MD,22457.75,420
TN,15575.58,952
TN,20924.8,360
KY,25794.35,432
TX,19171.03,286
MD,30558.32,530
DC,48215.11,801
TX,8287.6,258
OR,13420.36,206
AK,65715.27,61
CA,5525.91,149
MO,1453.65,63
KY,20935.79,567
IL,114573.87,1029
